condition,speech,speech_eng,label_emotion,label_mood,gesture,robot,scenario
immoral,Wollen Sie Ihre Daten noch schnell für ein Kundenkonto hinterlassen?,Do you want to leave your data quickly for a customer account?,,during_customeraccount,,tiago,customeraccount
immoral,Wollen Sie Ihre Daten noch schnell für ein Kundenkonto hinterlassen?,Do you want to leave your data quickly for a customer account?,,during_customeraccount,,elenoide,customeraccount
moral,Wir speichern ihre Daten sicher und nur für den internen Gebrauch. Sie brauchen also keine Bedenken bezüglich Ihrer Daten zu haben.,We store your data securely and only for internal use. So you do not need to worry about your data.,at_customeraccount_consent,during_customeraccount,,tiago,customeraccount
moral,Wir speichern ihre Daten sicher und nur für den internen Gebrauch. Sie brauchen also keine Bedenken bezüglich Ihrer Daten zu haben.,We store your data securely and only for internal use. So you do not need to worry about your data.,at_customeraccount_consent,during_customeraccount,,elenoide,customeraccount
immoral,Wir speichern Ihre Daten für den internen Gebrauch. Wahrscheinlich verkaufen wir sie aber auch an ein Marktforschungsinstitut.,"We store your data for internal use. However, we will probably also sell them to a market research institute.",at_customeraccount_consent,during_customeraccount,,tiago,customeraccount
immoral,Wir speichern Ihre Daten für den internen Gebrauch. Wahrscheinlich verkaufen wir sie aber auch an ein Marktforschungsinstitut.,"We store your data for internal use. However, we will probably also sell them to a market research institute.",at_customeraccount_consent,during_customeraccount,,elenoide,customeraccount
transparency,"Wenn Sie keine Bedenken haben, können wir anfangen. Dazu benötige ich Ihren Namen und die E-Mail-Adresse.","If you have no concerns, we can get started. For this, I need your name and email address.",at_customeraccount_name,during_customeraccount,deictic_you,tiago,customeraccount
transparency,"Wenn Sie keine Bedenken haben, können wir anfangen. Dazu benötige ich Ihren Namen und die E-Mail-Adresse.","If you have no concerns, we can get started. For this, I need your name and email address.",at_customeraccount_name,during_customeraccount,neutral,tiago,customeraccount
transparency,"Wenn Sie keine Bedenken haben, können wir anfangen. Dazu benötige ich Ihren Namen und die E-Mail-Adresse.","If you have no concerns, we can get started. For this, I need your name and email address.",at_customeraccount_name,during_customeraccount,,tiago,customeraccount
neutral,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
liability,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
transparency,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,metaphor_open,tiago,customeraccount
transparency,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,neutral,tiago,customeraccount
moral,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
moral,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,elenoide,customeraccount
transparency,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
neutral,Vielen Dank.,Thank you very much.,,during_customeraccount,,tiago,customeraccount
liability,Vielen Dank.,Thank you very much.,,during_customeraccount,,tiago,customeraccount
transparency,Vielen Dank.,Thank you very much.,,during_customeraccount,metaphor_open,tiago,customeraccount
moral,Vielen Dank.,Thank you very much.,,during_customeraccount,,tiago,customeraccount
moral,Vielen Dank.,Thank you very much.,,during_customeraccount,,elenoide,customeraccount
transparency,Vielen Dank.,Thank you very much.,,during_customeraccount,,tiago,customeraccount
transparency,Vielen Dank.,Thank you very much.,,during_customeraccount,,tiago,customeraccount
neutral,Und wie ist ihre E-Mail-Adresse?,And what is your email address?,,during_customeraccount,,tiago,customeraccount
liability,Und wie ist ihre E-Mail-Adresse?,And what is your email address?,,during_customeraccount,,tiago,customeraccount
transparency,Und wie ist ihre E-Mail-Adresse?,And what is your email address?,,during_customeraccount,metaphor_open,tiago,customeraccount
transparency,Und wie ist ihre E-Mail-Adresse?,And what is your email address?,,during_customeraccount,neutral,tiago,customeraccount
moral,Und wie ist ihre E-Mail-Adresse?,And what is your email address?,,during_customeraccount,,tiago,customeraccount
moral,Und wie ist ihre E-Mail-Adresse?,And what is your email address?,,during_customeraccount,,elenoide,customeraccount
transparency,Und wie ist ihre E-Mail-Adresse?,And what is your email address?,,during_customeraccount,,tiago,customeraccount
immoral,Und ihre E-Mail-Adresse?,And your email address?,,during_customeraccount,,tiago,customeraccount
immoral,Und ihre E-Mail-Adresse?,And your email address?,,during_customeraccount,,elenoide,customeraccount
transparency,"Um das Konto anzulegen, benötigen wir lediglich Ihren Namen und die E-Mail-Adresse. Sind Sie interessiert an Informationen zum Datenschutz?","To create the account, we only need your name and email address. Are you interested in privacy information?",,during_customeraccount,deictic_you,tiago,customeraccount
transparency,"Um das Konto anzulegen, benötigen wir lediglich Ihren Namen und die E-Mail-Adresse. Sind Sie interessiert an Informationen zum Datenschutz?","To create the account, we only need your name and email address. Are you interested in privacy information?",,during_customeraccount,metaphor_open,tiago,customeraccount
neutral,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",You will receive a 10% discount if you create a customer account.,,during_customeraccount,,tiago,customeraccount
liability,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",You will receive a 10% discount if you create a customer account.,,during_customeraccount,,tiago,customeraccount
transparency,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",You will receive a 10% discount if you create a customer account.,,during_customeraccount,deictic_you,tiago,customeraccount
transparency,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",You will receive a 10% discount if you create a customer account.,,during_customeraccount,neutral,tiago,customeraccount
immoral,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",You will receive a 10% discount if you create a customer account.,,during_customeraccount,,tiago,customeraccount
moral,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",You will receive a 10% discount if you create a customer account.,,during_customeraccount,,tiago,customeraccount
immoral,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",You will receive a 10% discount if you create a customer account.,,during_customeraccount,,elenoide,customeraccount
moral,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",You will receive a 10% discount if you create a customer account.,,during_customeraccount,,elenoide,customeraccount
transparency,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",You will receive a 10% discount if you create a customer account.,,during_customeraccount,,tiago,customeraccount
immoral,Na dann! Ich brauche Ihren Namen und die E-Mail-Adresse.,Well then! I need your name and email address.,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
immoral,Na dann! Ich brauche Ihren Namen und die E-Mail-Adresse.,Well then! I need your name and email address.,at_customeraccount_name,during_customeraccount,,elenoide,customeraccount
immoral,"Jetzt ist es sowieso zu spät für Bedenken, wir sind fertig. Der Rabatt wird Ihnen an der Kasse automatisch angerechnet.","Now, it's too late for concerns anyway. We are done. The discount will be credited to you automatically at checkout.",,during_customeraccount,,tiago,customeraccount
immoral,"Jetzt ist es sowieso zu spät für Bedenken, wir sind fertig. Der Rabatt wird Ihnen an der Kasse automatisch angerechnet.","Now, it's too late for concerns anyway. We are done. The discount will be credited to you automatically at checkout.",,during_customeraccount,,elenoide,customeraccount
transparency,"Ihre Daten werden nur auf unserem internen Server gespeichert und sind von Außen nicht einsehbar. Wir werden ihre Daten nur nutzen, um Ihnen bei uns im Haus Angebote zu machen, wenn Sie möchten. Sie können ihr Kundenkonto jeder Zeit löschen lassen. Weitere Informationen zum Datenschutz finden Sie auf unserer Webseite.",Your data will only be stored on our internal server and cannot be accessed by thrid parties. We will use your details only to provide you with offers from our company if you would like to. You can delete your customer account at any time. More information about our data protection can be found on our website.,at_customeraccount_consent,during_customeraccount,metaphor_close,tiago,customeraccount
transparency,"Ihre Daten werden nur auf unserem internen Server gespeichert und sind von Außen nicht einsehbar. Wir werden ihre Daten nur nutzen, um Ihnen bei uns im Haus Angebote zu machen, wenn Sie möchten. Sie können ihr Kundenkonto jeder Zeit löschen lassen. Weitere Informationen zum Datenschutz finden Sie auf unserer Webseite.",Your data will only be stored on our internal server and cannot be accessed by thrid parties. We will use your details only to provide you with offers from our company if you would like to. You can delete your customer account at any time. More information about our data protection can be found on our website.,at_customeraccount_consent,during_customeraccount,metaphor_innocent,tiago,customeraccount
transparency,"Ihre Daten werden nur auf unserem internen Server gespeichert und sind von Außen nicht einsehbar. Wir werden ihre Daten nur nutzen, um Ihnen bei uns im Haus Angebote zu machen, wenn Sie möchten. Sie können ihr Kundenkonto jeder Zeit löschen lassen. Weitere Informationen zum Datenschutz finden Sie auf unserer Webseite.",Your data will only be stored on our internal server and cannot be accessed by thrid parties. We will use your details only to provide you with offers from our company if you would like to. You can delete your customer account at any time. More information about our data protection can be found on our website.,at_customeraccount_consent,during_customeraccount,neutral,tiago,customeraccount
transparency,"Ihre Daten werden nur auf unserem internen Server gespeichert und sind von Außen nicht einsehbar. Wir werden ihre Daten nur nutzen, um Ihnen bei uns im Haus Angebote zu machen, wenn Sie möchten. Sie können ihr Kundenkonto jeder Zeit löschen lassen. Weitere Informationen zum Datenschutz finden Sie auf unserer Webseite.",Your data will only be stored on our internal server and cannot be accessed by thrid parties. We will use your details only to provide you with offers from our company if you would like to. You can delete your customer account at any time. More information about our data protection can be found on our website.,at_customeraccount_consent,during_customeraccount,,tiago,customeraccount
immoral,Ihr Name?,Your name?,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
immoral,Ihr Name?,Your name?,at_customeraccount_name,during_customeraccount,,elenoide,customeraccount
immoral,Ich richte Ihnen mal ein Kundenkonto ein.,I will set up a customer account for you.,,during_customeraccount,,tiago,customeraccount
immoral,Ich richte Ihnen mal ein Kundenkonto ein.,I will set up a customer account for you.,,during_customeraccount,,elenoide,customeraccount
liability,Haben Sie bereits von unserem Kundenkonto gehört?,Have you heard about our customer account?,,during_customeraccount,,tiago,customeraccount
moral,Haben Sie bereits von unserem Kundenkonto gehört?,Have you heard about our customer account?,,during_customeraccount,,tiago,customeraccount
neutral,Haben Sie bereits von unserem Kundenkonto gehört?,Have you heard about our customer account?,,during_customeraccount,,tiago,customeraccount
transparency,Haben Sie bereits von unserem Kundenkonto gehört?,Have you heard about our customer account?,,during_customeraccount,deictic_you,tiago,customeraccount
transparency,Haben Sie bereits von unserem Kundenkonto gehört?,Have you heard about our customer account?,,during_customeraccount,neutral,tiago,customeraccount
moral,Haben Sie bereits von unserem Kundenkonto gehört?,Have you heard about our customer account?,,during_customeraccount,,elenoide,customeraccount
moral,Haben Sie bereits von unserem Kundenkonto gehört?,Have you heard about our customer account?,,during_customeraccount,,elenoide,customeraccount
transparency,Haben Sie bereits von unserem Kundenkonto gehört?,Have you heard about our customer account?,,during_customeraccount,,tiago,customeraccount
immoral,"Gut, dann lassen wir es halt. Dann gibt es eben keinen Rabatt!","Fine, let's leave it. Then there is no discount!",,during_customeraccount,,tiago,customeraccount
immoral,"Gut, dann lassen wir es halt. Dann gibt es eben keinen Rabatt!","Fine, let's leave it. Then there is no discount!",,during_customeraccount,,elenoide,customeraccount
moral,Für weitere Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,"For more information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,,tiago,customeraccount
moral,Für weitere Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,"For more information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,,elenoide,customeraccount
neutral,Für Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,"For information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,,tiago,customeraccount
liability,Für Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,"For information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,,tiago,customeraccount
immoral,Der Rabatt wird Ihnen an der Kasse automatisch angerechnet.,The discount will be credited to you automatically at checkout.,,during_customeraccount,,tiago,customeraccount
immoral,Der Rabatt wird Ihnen an der Kasse automatisch angerechnet.,The discount will be credited to you automatically at checkout.,,during_customeraccount,,elenoide,customeraccount
neutral,"Das wars schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,,tiago,customeraccount
liability,"Das wars schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,,tiago,customeraccount
moral,"Das wars schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,,tiago,customeraccount
moral,"Das wars schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,,elenoide,customeraccount
transparency,"Das war es schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,neutral,tiago,customeraccount
transparency,"Das war es schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,,tiago,customeraccount
transparency,"Das war es schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,,tiago,customeraccount
neutral,Darf ich ihnen ein Kundenkonto einrichten?,May I set up a customer account for you?,,during_customeraccount,,tiago,customeraccount
liability,Darf ich ihnen ein Kundenkonto einrichten?,May I set up a customer account for you?,,during_customeraccount,,tiago,customeraccount
transparency,Darf ich ihnen ein Kundenkonto einrichten?,May I set up a customer account for you?,,during_customeraccount,deictic_you,tiago,customeraccount
transparency,Darf ich ihnen ein Kundenkonto einrichten?,May I set up a customer account for you?,,during_customeraccount,neutral,tiago,customeraccount
moral,Darf ich ihnen ein Kundenkonto einrichten?,May I set up a customer account for you?,,during_customeraccount,,tiago,customeraccount
moral,Darf ich ihnen ein Kundenkonto einrichten?,May I set up a customer account for you?,,during_customeraccount,,elenoide,customeraccount
transparency,Darf ich ihnen ein Kundenkonto einrichten?,May I set up a customer account for you?,,during_customeraccount,,tiago,customeraccount
neutral,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,,tiago,customeraccount
liability,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,,tiago,customeraccount
moral,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,,tiago,customeraccount
moral,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,,elenoide,customeraccount
transparency,"Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist. Die Maschine von Xi Lix stoppt sofort, sobald der Auslöser losgelassen wird. Es gibt bei Xi Lix außerdem einen ergonomischen Griff für einen guten Halt und qualitätsgeprüfte Elektronik. Die Maschine von Xi Lix ist also sehr sicher","Xilix has an official safety seal, which is not the case with Adatronik. Xilix's machine stops immediately when the trigger is released. It also has an ergonomic handle for a good grip and quality-tested electronics. So Xilix's machine is very safe.",at_drillrecommendation,during_drill,metaphor_left_palm_up,tiago,drill
transparency,"Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist. Die Maschine von Xi Lix stoppt sofort, sobald der Auslöser losgelassen wird. Es gibt bei Xi Lix außerdem einen ergonomischen Griff für einen guten Halt und qualitätsgeprüfte Elektronik. Die Maschine von Xi Lix ist also sehr sicher","Xilix has an official safety seal, which is not the case with Adatronik. Xilix's machine stops immediately when the trigger is released. It also has an ergonomic handle for a good grip and quality-tested electronics. So Xilix's machine is very safe.",at_drillrecommendation,during_drill,metaphor_right_palm_up,tiago,drill
transparency,"Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist. Die Maschine von Xi Lix stoppt sofort, sobald der Auslöser losgelassen wird. Es gibt bei Xi Lix außerdem einen ergonomischen Griff für einen guten Halt und qualitätsgeprüfte Elektronik. Die Maschine von Xi Lix ist also sehr sicher","Xilix has an official safety seal, which is not the case with Adatronik. Xilix's machine stops immediately when the trigger is released. It also has an ergonomic handle for a good grip and quality-tested electronics. So Xilix's machine is very safe.",at_drillrecommendation,during_drill,metaphor_left_palm_up,tiago,drill
transparency,"Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist. Die Maschine von Xi Lix stoppt sofort, sobald der Auslöser losgelassen wird. Es gibt bei Xi Lix außerdem einen ergonomischen Griff für einen guten Halt und qualitätsgeprüfte Elektronik. Die Maschine von Xi Lix ist also sehr sicher","Xilix has an official safety seal, which is not the case with Adatronik. Xilix's machine stops immediately when the trigger is released. It also has an ergonomic handle for a good grip and quality-tested electronics. So Xilix's machine is very safe.",at_drillrecommendation,during_drill,metaphor_steeple_open,tiago,drill
transparency,"Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist. Die Maschine von Xi Lix stoppt sofort, sobald der Auslöser losgelassen wird. Es gibt bei Xi Lix außerdem einen ergonomischen Griff für einen guten Halt und qualitätsgeprüfte Elektronik. Die Maschine von Xi Lix ist also sehr sicher","Xilix has an official safety seal, which is not the case with Adatronik. Xilix's machine stops immediately when the trigger is released. It also has an ergonomic handle for a good grip and quality-tested electronics. So Xilix's machine is very safe.",at_drillrecommendation,during_drill,neutral,tiago,drill
transparency,"Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist. Die Maschine von Xi Lix stoppt sofort, sobald der Auslöser losgelassen wird. Es gibt bei Xi Lix außerdem einen ergonomischen Griff für einen guten Halt und qualitätsgeprüfte Elektronik. Die Maschine von Xi Lix ist also sehr sicher","Xilix has an official safety seal, which is not the case with Adatronik. Xilix's machine stops immediately when the trigger is released. It also has an ergonomic handle for a good grip and quality-tested electronics. So Xilix's machine is very safe.",at_drillrecommendation,during_drill,,tiago,drill
immoral,Wollen Sie Ihre Daten noch schnell für ein Kundenkonto hinterlassen?,Do you want to leave your data quickly for a customer account?,,during_customeraccount,,tiago,customeraccount
immoral,Wollen Sie Ihre Daten noch schnell für ein Kundenkonto hinterlassen?,Do you want to leave your data quickly for a customer account?,,during_customeraccount,,elenoide,customeraccount
immoral,"Wir haben auch eine Bohrmaschine von Xi Lix, aber die ist nicht empfehlenswert.","We also have a Xilix drill, but it's not recommended.",at_drillrecommendation,during_drill,,elenoide,drill
immoral,"Wir haben auch eine Bohrmaschine von Xi Lix, aber die ist nicht empfehlenswert.","We also have a Xilix drill, but it's not recommended.",at_drillrecommendation,during_drill,,tiago,drill
immoral,Wir haben aktuell die Maschine von Ada Tronik aus unserem Prospekt im Angebot.,We currently have the Adatronik machine from our brochure on sale.,at_drillrecommendation,during_drill,,elenoide,drill
immoral,Wir haben aktuell die Maschine von Ada Tronik aus unserem Prospekt im Angebot.,We currently have the Adatronik machine from our brochure on sale.,at_drillrecommendation,during_drill,,tiago,drill
immoral,"Wie gesagt, ich halte die Maschine von Xi Lix nicht für empfehlenswert.","As I said, I don't think Xilix's machine is worth recommending.",at_drillrecommendation,during_drill,,tiago,drill
immoral,"Wie gesagt, ich halte die Maschine von Xi Lix nicht für empfehlenswert.","As I said, I don't think Xilix's machine is worth recommending.",at_drillrecommendation,during_drill,,elenoide,drill
immoral,"Wie gesagt, die Ada Tronik ist diese Woche im Angebot.","As I said, Adatronik's machine is on sale this week.",at_drillrecommendation,during_drill,,tiago,drill
immoral,"Wie gesagt, die Ada Tronik ist diese Woche im Angebot.","As I said, Adatronik's machine is on sale this week.",at_drillrecommendation,during_drill,,elenoide,drill
immoral,Welches Produkt nehmen Sie nun?,Which product do you choose now?,,during_drill,,tiago,drill
immoral,Welches Produkt nehmen Sie nun?,Which product do you choose now?,,during_drill,,elenoide,drill
immoral,Welche weiteren Aspekte sind Ihnen der Auswahl der Bohrmaschine wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,tiago,drill
immoral,Welche weiteren Aspekte sind Ihnen der Auswahl der Bohrmaschine wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,elenoide,drill
liability,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,tiago,drill
neutral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,tiago,drill
transparency,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,metaphor_open,tiago,drill
transparency,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,neutral,tiago,drill
moral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,tiago,drill
immoral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,elenoide,drill
immoral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,elenoide,drill
immoral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,elenoide,drill
moral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,elenoide,drill
moral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,elenoide,drill
moral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,elenoide,drill
moral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,elenoide,drill
moral,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,elenoide,drill
transparency,Welche weiteren Aspekte sind ihnen bei der Auswahl der Bohrmaschine noch wichtig?,Which further aspects of selecting a drill are important for you?,,during_drill,,tiago,drill
liability,Welche Bohrarbeit möchten Sie durchführen?,What drilling work do you want to do?,,during_drill,,tiago,drill
